csad,cssd,r_m,r_m_abs,r_m_sqr,stringencyindex_weightedaverage,c6e_stayathomerequirements,D25Upper,D10Upper,D5Upper,populationvaccinated,rolling_deaths,cases
1.647617,.1290637,.9970508,.9970508,1.042976,.7639,3,0,0,0,0,0,85
1.271842,.1123393,-.2910089,.2910089,.0711809,.8194,3,1,1,1,0,0,96
1.303271,.1047301,-1.365865,1.365865,1.800035,.8194,3,1,1,1,0,0,85
1.286022,.1043748,.0150011,.0150011,.0015376,.8194,3,1,1,1,0,0,111
1.297397,.1023164,.9825315,.9825315,1.013531,.8194,3,1,1,1,0,0,88
1.457677,.1192661,-.0191985,.0191985,.0000251,.8194,3,1,1,1,0,.1428571,136
1.415888,.1138647,1.711423,1.711423,3.012428,.8194,3,1,1,1,0,.1428571,112
1.273024,.1121079,.0896361,.0896361,.0129612,.8194,3,1,1,1,0,.1428571,91
1.390478,.1142346,-.280614,.280614,.0657423,.8194,3,1,1,1,0,.2857143,129
1.341701,.1108249,-.1642825,.1642825,.0196199,.8194,3,1,1,1,0,.4285714,108
1.264747,.120564,-1.148762,1.148762,1.264615,.8194,3,1,1,1,0,.4285714,133
.9596109,.0784448,-.3001568,.3001568,.0761459,.7824,3,1,0,0,0,.4285714,90
1.384716,.1112588,-1.600332,1.600332,2.484155,.7824,3,1,0,0,0,.4285714,117
1.229352,.1062523,-.2146003,.2146003,.0362479,.7824,3,1,0,0,0,.5714286,118
1.335547,.1105056,-1.063543,1.063543,1.080211,.7824,3,1,0,0,0,.4285714,131
1.557049,.129234,.2391482,.2391482,.0693583,.7824,3,1,0,0,0,.7142857,114
1.293644,.1045827,.1639693,.1639693,.035412,.7824,3,1,0,0,0,1.142857,103
1.167264,.0938924,-.2773706,.2773706,.0640896,.7824,3,1,0,0,0,1.571429,112
1.362502,.1111596,1.205804,1.205804,1.512938,.7824,3,1,0,0,0,1.285714,96
1.518767,.1205604,-.0092546,.0092546,.0002237,.7824,3,1,0,0,0,1.571429,116
1.597914,.129509,.8085102,.8085102,.6934252,.7824,3,1,0,0,0,1.857143,100
1.735514,.1317828,-2.302425,2.302425,5.190259,.7824,3,1,0,0,0,1.571429,100
1.561791,.1344857,.7516817,.7516817,.6020101,.7824,3,1,0,0,0,1.285714,82
1.642366,.1287197,-.7437354,.7437354,.5177149,.7824,3,1,0,0,0,1.428571,76
