,Date,StringencyIndex_WeightedAverage,C6E_Stay at home requirements,PopulationVaccinated
481,20210426,78.24,3.0,0.0
482,20210427,78.24,3.0,0.0
483,20210428,78.24,3.0,0.0
484,20210429,78.24,3.0,0.0
485,20210430,78.24,3.0,0.0
486,20210501,78.24,3.0,0.0
487,20210502,78.24,3.0,0.0
488,20210503,78.24,3.0,0.0
489,20210504,67.13,1.0,0.0
490,20210505,67.13,1.0,0.0
491,20210506,63.43,1.0,0.0
492,20210507,63.43,1.0,0.0
493,20210508,63.43,1.0,0.0
494,20210509,63.43,1.0,0.0
495,20210510,63.43,1.0,0.0
496,20210511,63.43,1.0,0.0
497,20210512,61.57,1.0,0.0
498,20210513,61.57,1.0,0.0
499,20210514,67.13,3.0,0.0
500,20210515,67.13,3.0,0.0
501,20210516,68.98,3.0,0.0
502,20210517,68.98,3.0,0.0
503,20210518,68.98,3.0,0.0
504,20210519,68.98,3.0,0.0
505,20210520,68.98,3.0,0.0
506,20210521,68.98,3.0,0.0
507,20210522,68.98,3.0,0.0
508,20210523,68.98,3.0,0.0
509,20210524,68.98,3.0,0.0
510,20210525,68.98,3.0,0.0
511,20210526,68.98,3.0,0.0
512,20210527,68.98,3.0,0.0
513,20210528,68.98,3.0,0.0
514,20210529,66.2,2.0,0.0
515,20210530,66.2,2.0,0.0
516,20210531,66.2,2.0,0.0
517,20210601,66.2,2.0,0.0
518,20210602,66.2,2.0,0.0
519,20210603,66.2,2.0,0.0
520,20210604,66.2,2.0,0.0
521,20210605,66.2,2.0,0.0
522,20210606,66.2,2.0,0.0
523,20210607,66.2,2.0,0.0
524,20210608,66.2,2.0,0.0
525,20210609,66.2,2.0,0.0
526,20210610,66.2,2.0,0.0
527,20210611,69.91,2.0,0.0
528,20210612,69.91,2.0,0.0
529,20210613,69.91,2.0,0.0
530,20210614,69.91,2.0,0.0
531,20210615,78.24,2.0,0.0
532,20210616,78.24,2.0,0.0
533,20210617,78.24,2.0,0.0
534,20210618,78.24,2.0,0.0
535,20210619,78.24,2.0,0.0
536,20210620,78.24,2.0,0.0
537,20210621,78.24,2.0,0.0
538,20210622,78.24,2.0,0.0
539,20210623,78.24,2.0,0.0
540,20210624,74.54,2.0,0.0
541,20210625,74.54,2.0,0.0
542,20210626,74.54,2.0,0.0
543,20210627,74.54,2.0,0.0
544,20210628,74.54,2.0,0.0
545,20210629,74.54,2.0,0.0
546,20210630,74.54,2.0,0.0
547,20210701,74.54,2.0,0.0
548,20210702,68.98,2.0,0.0
549,20210703,68.98,2.0,0.0
550,20210704,68.98,2.0,0.0
551,20210705,68.98,2.0,0.0
552,20210706,68.98,2.0,0.0
553,20210707,81.94,3.0,0.0
554,20210708,81.94,3.0,0.0
555,20210709,81.94,3.0,0.0
556,20210710,81.94,3.0,0.0
557,20210711,81.94,3.0,0.0
558,20210712,81.94,3.0,0.0
559,20210713,81.94,3.0,0.0
560,20210714,81.94,3.0,0.0
561,20210715,81.94,3.0,0.0
562,20210716,81.94,3.0,0.0
563,20210717,81.94,3.0,0.0
564,20210718,81.94,3.0,0.0
565,20210719,81.94,3.0,0.0
566,20210720,70.83,3.0,0.0
567,20210721,70.83,3.0,0.0
568,20210722,70.83,3.0,0.0
569,20210723,70.83,3.0,0.0
570,20210724,70.83,3.0,0.0
571,20210725,70.83,3.0,0.0
572,20210726,70.83,3.0,0.0
573,20210727,70.83,3.0,0.0
574,20210728,70.83,3.0,0.0
575,20210729,70.83,3.0,0.0
576,20210730,70.83,3.0,0.0
577,20210731,70.83,3.0,0.0
578,20210801,70.83,3.0,0.0
579,20210802,70.83,3.0,0.0
580,20210803,70.83,3.0,0.0
581,20210804,70.83,3.0,0.0
582,20210805,70.83,3.0,0.0
583,20210806,70.83,3.0,0.0
584,20210807,70.83,3.0,0.0
585,20210808,70.83,3.0,0.0
586,20210809,70.83,3.0,0.0
587,20210810,70.83,3.0,0.0
588,20210811,70.83,3.0,0.0
589,20210812,70.83,3.0,54.5
590,20210813,70.83,3.0,54.5
591,20210814,70.83,3.0,54.5
592,20210815,70.83,3.0,54.5
593,20210816,70.83,3.0,54.5
594,20210817,70.83,3.0,54.5
595,20210818,70.83,3.0,54.5
596,20210819,70.83,3.0,54.5
597,20210820,70.83,3.0,54.5
598,20210821,70.83,3.0,54.5
599,20210822,70.83,3.0,54.5
600,20210823,70.83,3.0,54.5
601,20210824,70.83,3.0,54.5
602,20210825,70.83,3.0,54.5
603,20210826,70.83,3.0,62.38
604,20210827,70.83,3.0,62.38
605,20210828,70.83,3.0,62.38
606,20210829,70.83,3.0,62.38
607,20210830,70.83,3.0,62.38
608,20210831,70.83,3.0,62.38
609,20210901,70.83,3.0,62.38
610,20210902,70.83,3.0,62.38
611,20210903,70.83,3.0,62.38
612,20210904,70.83,3.0,62.38
613,20210905,70.83,3.0,62.38
614,20210906,70.83,3.0,68.01
615,20210907,70.83,3.0,68.01
616,20210908,70.83,3.0,68.01
617,20210909,70.83,3.0,68.01
618,20210910,70.83,3.0,68.01
619,20210911,70.83,3.0,68.01
620,20210912,70.83,3.0,68.01
621,20210913,70.83,3.0,68.01
622,20210914,70.83,3.0,68.01
623,20210915,70.83,3.0,70.94
624,20210916,70.83,3.0,70.94
625,20210917,70.83,3.0,70.94
626,20210918,76.39,3.0,71.69
627,20210919,76.39,3.0,71.69
628,20210920,76.39,3.0,71.69
629,20210921,76.39,3.0,71.69
630,20210922,76.39,3.0,71.69
631,20210923,76.39,3.0,71.69
632,20210924,76.39,3.0,71.69
633,20210925,76.39,3.0,71.69
634,20210926,76.39,3.0,71.69
635,20210927,76.39,3.0,71.69
636,20210928,76.39,3.0,73.49
637,20210929,76.39,3.0,73.49
638,20210930,76.39,3.0,73.49
639,20211001,76.39,3.0,73.49
640,20211002,76.39,3.0,73.49
641,20211003,76.39,3.0,73.49
642,20211004,76.39,3.0,73.49
643,20211005,76.39,3.0,73.49
644,20211006,76.39,3.0,73.49
645,20211007,76.39,3.0,73.49
646,20211008,76.39,3.0,73.49
647,20211009,76.39,3.0,73.49
648,20211010,76.39,3.0,73.49
649,20211011,76.39,3.0,73.49
650,20211012,76.39,3.0,73.49
651,20211013,76.39,3.0,73.49
652,20211014,76.39,3.0,73.49
653,20211015,76.39,3.0,73.49
654,20211016,76.39,3.0,73.49
655,20211017,76.39,3.0,73.49
656,20211018,76.39,3.0,73.49
657,20211019,70.83,3.0,73.49
658,20211020,70.83,3.0,73.49
659,20211021,70.83,3.0,73.49
660,20211022,70.83,3.0,73.49
661,20211023,70.83,3.0,74.87
662,20211024,70.83,3.0,74.87
663,20211025,70.83,3.0,74.87
664,20211026,70.83,3.0,74.87
665,20211027,70.83,3.0,74.87
666,20211028,70.83,3.0,74.87
667,20211029,70.83,3.0,75.07
668,20211030,70.83,3.0,75.07
669,20211031,70.83,3.0,75.07
670,20211101,70.83,3.0,75.07
671,20211102,70.83,3.0,75.07
672,20211103,70.83,3.0,75.07
673,20211104,70.83,3.0,75.07
674,20211105,70.83,3.0,75.21
675,20211106,70.83,3.0,75.21
676,20211107,70.83,3.0,75.21
677,20211108,70.83,3.0,75.21
678,20211109,70.83,3.0,75.21
679,20211110,70.83,3.0,75.21
680,20211111,70.83,3.0,75.21
681,20211112,70.83,3.0,75.31
682,20211113,65.28,3.0,75.31
683,20211114,65.28,3.0,75.31
684,20211115,65.28,3.0,75.31
685,20211116,65.28,3.0,75.31
686,20211117,65.28,3.0,75.31
687,20211118,65.28,3.0,75.31
688,20211119,65.28,3.0,75.48
689,20211120,65.28,3.0,75.48
690,20211121,65.28,3.0,75.48
691,20211122,65.28,3.0,75.48
692,20211123,65.28,3.0,75.48
693,20211124,65.28,3.0,75.48
694,20211125,65.28,3.0,75.48
695,20211126,65.28,3.0,75.48
696,20211127,65.28,3.0,75.48
697,20211128,70.83,3.0,75.48
698,20211129,70.83,3.0,77.88
699,20211130,70.83,3.0,77.88
700,20211201,70.83,3.0,77.88
701,20211202,70.83,3.0,77.88
702,20211203,70.83,3.0,78.9
703,20211204,70.83,3.0,78.9
704,20211205,70.83,3.0,78.9
705,20211206,70.83,3.0,78.9
706,20211207,70.83,3.0,78.9
707,20211208,70.83,3.0,78.9
708,20211209,70.83,3.0,78.9
709,20211210,70.83,3.0,81.53
710,20211211,70.83,3.0,81.53
711,20211212,70.83,3.0,81.53
712,20211213,70.83,3.0,81.53
713,20211214,70.83,3.0,81.53
714,20211215,70.83,3.0,81.53
715,20211216,70.83,3.0,81.53
716,20211217,70.83,3.0,83.2
717,20211218,70.83,3.0,83.2
718,20211219,70.83,3.0,83.7
719,20211220,70.83,3.0,83.7
720,20211221,70.83,3.0,83.7
721,20211222,70.83,3.0,83.7
722,20211223,79.17,3.0,83.7
723,20211224,79.17,3.0,83.7
724,20211225,79.17,3.0,84.39
725,20211226,79.17,3.0,84.39
726,20211227,79.17,3.0,84.39
727,20211228,79.17,3.0,84.68
728,20211229,79.17,3.0,84.68
729,20211230,79.17,3.0,84.68
730,20211231,79.17,3.0,84.68
731,20220101,79.17,3.0,84.68
732,20220102,79.17,3.0,84.68
733,20220103,79.17,3.0,84.68
734,20220104,79.17,3.0,84.68
735,20220105,79.17,3.0,84.68
736,20220106,79.17,3.0,85.07
737,20220107,79.17,3.0,85.27
738,20220108,79.17,3.0,85.27
739,20220109,79.17,3.0,85.27
740,20220110,79.17,3.0,85.27
741,20220111,79.17,3.0,85.27
742,20220112,79.17,3.0,85.27
743,20220113,79.17,3.0,85.27
744,20220114,79.17,3.0,85.6
745,20220115,79.17,3.0,85.6
746,20220116,79.17,3.0,85.6
747,20220117,79.17,3.0,85.6
748,20220118,79.17,3.0,85.6
749,20220119,79.17,3.0,85.6
750,20220120,79.17,3.0,85.6
751,20220121,79.17,3.0,85.87
752,20220122,79.17,3.0,85.87
753,20220123,79.17,3.0,85.87
754,20220124,64.35,1.0,85.87
755,20220125,64.35,1.0,85.87
756,20220126,64.35,1.0,85.87
757,20220127,64.35,1.0,85.87
758,20220128,64.35,1.0,86.08
759,20220129,64.35,1.0,86.08
760,20220130,64.35,1.0,86.08
761,20220131,64.35,1.0,86.08
762,20220201,64.35,1.0,86.08
763,20220202,64.35,1.0,86.08
764,20220203,64.35,1.0,86.08
765,20220204,64.35,1.0,86.08
766,20220205,64.35,1.0,86.08
767,20220206,64.35,1.0,86.08
768,20220207,64.35,1.0,86.15
769,20220208,64.35,1.0,86.15
770,20220209,64.35,1.0,86.15
771,20220210,64.35,1.0,86.15
772,20220211,64.35,1.0,86.15
773,20220212,64.35,1.0,86.15
774,20220213,64.35,1.0,86.15
775,20220214,64.35,1.0,86.15
776,20220215,64.35,1.0,86.15
777,20220216,64.35,1.0,86.15
778,20220217,64.35,1.0,86.15
779,20220218,64.35,1.0,86.44
780,20220219,64.35,1.0,86.44
781,20220220,64.35,1.0,86.44
782,20220221,64.35,1.0,86.44
783,20220222,64.35,1.0,86.44
784,20220223,64.35,1.0,86.44
785,20220224,64.35,1.0,86.44
786,20220225,64.35,1.0,86.58
787,20220226,64.35,1.0,86.58
788,20220227,64.35,1.0,86.58
789,20220228,59.54,1.0,86.58
790,20220301,59.54,1.0,86.58
791,20220302,59.54,1.0,86.58
792,20220303,59.54,1.0,86.58
793,20220304,59.54,1.0,86.58
794,20220305,59.54,1.0,86.58
795,20220306,59.54,1.0,86.58
796,20220307,59.54,1.0,86.58
797,20220308,59.54,1.0,86.58
798,20220309,59.54,1.0,86.58
799,20220310,59.54,1.0,86.58
800,20220311,59.54,1.0,86.58
801,20220312,59.54,1.0,86.58
802,20220313,59.54,1.0,86.58
803,20220314,64.35,1.0,86.91
804,20220315,64.35,1.0,86.91
805,20220316,64.35,1.0,86.91
806,20220317,64.35,1.0,86.93
807,20220318,64.35,1.0,86.94
808,20220319,64.35,1.0,86.94
809,20220320,64.35,1.0,86.94
810,20220321,64.35,1.0,86.99
811,20220322,64.35,1.0,86.99
812,20220323,64.35,1.0,86.99
813,20220324,64.35,1.0,87.02
814,20220325,64.35,1.0,87.02
815,20220326,64.35,1.0,87.02
816,20220327,64.35,1.0,87.02
817,20220328,68.06,1.0,87.02
818,20220329,73.61,3.0,87.02
819,20220330,73.61,3.0,87.02
820,20220331,73.61,3.0,87.12
821,20220401,73.61,3.0,87.12
822,20220402,73.61,3.0,87.12
823,20220403,73.61,3.0,87.12
824,20220404,73.61,3.0,87.12
825,20220405,73.61,3.0,87.19
826,20220406,73.61,3.0,87.19
827,20220407,73.61,3.0,87.19
828,20220408,79.17,3.0,87.19
829,20220409,79.17,3.0,87.19
830,20220410,79.17,3.0,87.19
831,20220411,79.17,3.0,87.31
832,20220412,79.17,3.0,87.31
833,20220413,79.17,3.0,87.31
834,20220414,79.17,3.0,87.31
835,20220415,79.17,3.0,87.31
836,20220416,75.46,3.0,87.31
837,20220417,75.46,3.0,87.31
838,20220418,79.17,3.0,87.44
839,20220419,79.17,3.0,87.44
840,20220420,79.17,3.0,87.44
841,20220421,79.17,3.0,87.44
842,20220422,79.17,3.0,87.44
843,20220423,79.17,3.0,87.44
844,20220424,79.17,3.0,87.44
845,20220425,79.17,3.0,87.44
846,20220426,79.17,3.0,87.44
847,20220427,79.17,3.0,87.62
848,20220428,79.17,3.0,87.64
849,20220429,79.17,3.0,87.64
