code,name,weight,exchange
600637 CH Equity,Oriental Pearl Group Co Ltd,0.139761,Shanghai
600066 CH Equity,Yutong Bus Co Ltd,0.1373,Shanghai
601998 CH Equity,China CITIC Bank Corp Ltd,0.137157,Shanghai
600926 CH Equity,Bank of Hangzhou Co Ltd,0.136342,Shanghai
000728 CH Equity,Guoyuan Securities Co Ltd,0.135773,Shenzhen
300413 CH Equity,Mango Excellent Media Co Ltd,0.135439,Shenzhen
300017 CH Equity,Wangsu Science & Technology Co Ltd,0.134534,Shenzhen
600068 CH Equity,China Gezhouba Group Co Ltd,0.133868,Shanghai
601727 CH Equity,Shanghai Electric Group Co Ltd,0.131984,Shanghai
601198 CH Equity,Dongxing Securities Co Ltd,0.13143,Shanghai
600004 CH Equity,Guangzhou Baiyun International Airport Co Ltd,0.130958,Shanghai
600867 CH Equity,Tonghua Dongbao Pharmaceutical Co Ltd,0.13064,Shanghai
603899 CH Equity,Shanghai M&G Stationery Inc,0.130099,Shanghai
600362 CH Equity,Jiangxi Copper Co Ltd,0.12742,Shanghai
600674 CH Equity,Sichuan Chuantou Energy Co Ltd,0.125806,Shanghai
002673 CH Equity,Western Securities Co Ltd,0.124461,Shenzhen
002146 CH Equity,RiseSun Real Estate Development Co Ltd,0.124011,Shenzhen
000656 CH Equity,Jinke Properties Group Co Ltd,0.118981,Shenzhen
601838 CH Equity,Bank of Chengdu Co Ltd,0.118821,Shanghai
600583 CH Equity,Offshore Oil Engineering Co Ltd,0.118337,Shanghai
600208 CH Equity,Xinhu Zhongbao Co Ltd,0.117887,Shanghai
000423 CH Equity,Dong-E-E-Jiao Co Ltd,0.117453,Shenzhen
600023 CH Equity,Zhejiang Zheneng Electric Power Co Ltd,0.117197,Shanghai
601021 CH Equity,Spring Airlines Co Ltd,0.116738,Shanghai
600219 CH Equity,Shandong Nanshan Aluminum Co Ltd,0.1165,Shanghai
002508 CH Equity,Hangzhou Robam Appliances Co Ltd,0.116368,Shenzhen
601117 CH Equity,China National Chemical Engineering Co Ltd,0.115214,Shanghai
000703 CH Equity,Hengyi Petrochemical Co Ltd,0.114768,Shenzhen
600170 CH Equity,Shanghai Construction Group Co Ltd,0.114319,Shanghai
000596 CH Equity,Anhui Gujing Distillery Co Ltd,0.113455,Shenzhen
002601 CH Equity,LB Group Co Ltd,0.113417,Shenzhen
600085 CH Equity,Beijing Tongrentang Co Ltd,0.112131,Shanghai
300024 CH Equity,Siasun Robot & Automation Co Ltd,0.110906,Shenzhen
002739 CH Equity,Wanda Film Holding Co Ltd,0.109449,Shenzhen
601018 CH Equity,Ningbo Zhoushan Port Co Ltd,0.108924,Shanghai
601881 CH Equity,China Galaxy Securities Co Ltd,0.10857,Shanghai
601878 CH Equity,Zheshang Securities Co Ltd,0.10764,Shanghai
002252 CH Equity,Shanghai RAAS Blood Products Co Ltd,0.107094,Shenzhen
603833 CH Equity,Oppein Home Group Inc,0.106972,Shanghai
000413 CH Equity,Tunghsu Optoelectronic Technology Co Ltd,0.106849,Shenzhen
000630 CH Equity,Tongling Nonferrous Metals Group Co Ltd,0.106741,Shenzhen
600369 CH Equity,Southwest Securities Co Ltd,0.106255,Shanghai
600489 CH Equity,Zhongjin Gold Corp Ltd,0.106137,Shanghai
002916 CH Equity,Shennan Circuits Co Ltd,0.104934,Shenzhen
300070 CH Equity,Beijing Originwater Technology Co Ltd,0.10467,Shenzhen
002081 CH Equity,Suzhou Gold Mantis Construction Decoration Co Ltd,0.102733,Shenzhen
600038 CH Equity,AVICOPTER PLC,0.101997,Shanghai
600535 CH Equity,Tasly Pharmaceutical Group Co Ltd,0.101512,Shanghai
000627 CH Equity,Hubei Biocause Pharmaceutical Co Ltd,0.100915,Shenzhen
000671 CH Equity,Yango Group Co Ltd,0.099881,Shenzhen
601066 CH Equity,CSC Financial Co Ltd,0.098559,Shanghai
600482 CH Equity,China Shipbuilding Industry Group Power Co Ltd,0.098355,Shanghai
600760 CH Equity,AVIC Shenyang Aircraft Co Ltd,0.096293,Shanghai
600153 CH Equity,Xiamen C & D Inc,0.092439,Shanghai
600118 CH Equity,China Spacesat Co Ltd,0.091646,Shanghai
002032 CH Equity,Zhejiang Supor Co Ltd,0.091459,Shenzhen
000629 CH Equity,Pangang Group Vanadium Titanium & Resources Co Ltd,0.090965,Shenzhen
002153 CH Equity,Beijing Shiji Information Technology Co Ltd,0.090605,Shenzhen
601992 CH Equity,BBMG Corp,0.090245,Shanghai
